iter	Passed	Remaining
0	1	145
1	2	126
2	3	117
3	4	108
4	5	106
5	6	104
6	7	102
7	8	100
8	9	99
9	11	100
10	12	100
11	13	98
12	14	96
13	15	95
14	16	94
15	17	93
16	19	94
17	20	92
18	21	91
19	22	89
20	23	88
21	24	86
22	25	86
23	26	85
24	28	84
25	29	82
26	30	81
27	31	80
28	32	79
29	33	78
30	34	76
31	35	75
32	36	74
33	37	73
34	38	71
35	39	71
36	41	70
37	42	69
38	43	68
39	44	66
40	45	65
41	46	63
42	47	62
43	48	61
44	49	60
45	50	59
46	51	58
47	52	56
48	53	55
49	54	54
50	55	53
51	56	52
52	58	51
53	59	50
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	43
60	65	42
61	67	41
62	68	39
63	69	39
64	70	38
65	71	36
66	72	35
67	73	34
68	75	33
69	76	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	82	25
76	83	24
77	84	23
78	85	22
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	93	15
86	94	14
87	95	12
88	96	11
89	97	10
90	98	9
91	100	8
92	101	7
93	102	6
94	103	5
95	104	4
96	105	3
97	106	2
98	107	1
99	108	0
